playername,role
ancient,mage
ancient !!,mage
ancient!!,healer
ancient-ancien,mage
ancient-brave3,mage
ancient-brave8,tank
ancient-dark,healer
ancient-frozen,mage
ancient-furiou,assassin
ancient-knight,archer
ancient-lucky3,tank
ancient-mystic,mage
ancient-neon3,mage
ancient-neon7,warrior
ancient-phoeni,warrior
ancient-raven7 ##,tank
ancient-samura,healer
ancient-shadow,healer
ancient-silent,mage
ancient-stealt,mage
ancient.ancien,archer
ancient.brave,mage
ancient.cosmic,assassin
ancient.crimso,tank
ancient.falcon,archer
ancient.frozen,warrior
ancient.golden,tank
ancient.rapid3,warrior
ancient.raven8,archer
ancient.tiger1,warrior
ancient.wild64,mage
ancient.wizard,warrior
ancient0,tank
ancient1,mage
ancient15,assassin
ancient16,healer
ancient182,warrior
ancient2,archer
ancient22,archer
ancient23,warrior
ancient240!!,healer
ancient3,mage
ancient31,warrior
ancient35,assassin
ancient397,warrior
ancient4,healer
ancient4 ##,mage
ancient40,warrior
ancient43,archer
ancient46,warrior
ancient48,healer
ancient4äöü,healer
ancient5,healer
ancient56,warrior
ancient567,archer
ancient6,mage
ancient61,healer
ancient65,healer
ancient651,archer
ancient69,healer
ancient7,warrior
ancient7!!,assassin
ancient76,healer
ancient77,tank
ancient79,archer
ancient8,mage
ancient80,archer
ancient9,assassin
ancient_arcane,healer
ancient_brave7,tank
ancient_crimso,healer
ancient_dark7,healer
ancient_falcon,healer
ancient_frozen,archer
ancient_ghost1,assassin
ancient_ghost4,assassin
ancient_ghost4!!,tank
ancient_iron20,mage
ancient_knight,warrior
ancient_lucky7,healer
ancient_phoeni,tank
ancient_reaper,tank
ancient_shadow,tank
ancient_silver,warrior
ancient_stealt,assassin
ancient_warden,healer
ancientancient,healer
ancientarcane3,tank
ancientarcane8,tank
ancientarrow,archer
ancientarrow3,healer
ancientbrave,archer
ancientbrave4,warrior
ancientcosmic,healer
ancientcrimson,tank
ancientdark,archer
ancientdark3,mage
ancientdark76,tank
ancientdark9,healer
ancientdragon,healer
ancientdragon1,healer
ancientdragon2,tank
ancientdragon5,tank
ancientelectri,assassin
ancientfalcon6,healer
ancientfrozen,mage
ancientfrozen8,warrior
ancientfrozen9,archer
ancientfurious,assassin
ancientgolden,tank
ancientgolden1  ##,tank
ancientgolden2,healer
ancientgolden4,assassin
ancientgolem,tank
ancientgolem7,assassin
ancienthunter,tank
ancientiron2,warrior
ancientiron9,tank
ancientlucky,warrior
ancientlucky1,archer
ancientmystic,assassin
ancientneon,archer
ancientneon30,assassin
ancientninja,archer
ancientphoenix,warrior
ancientrapid0,archer
ancientrapid31,archer
ancientrapid8,archer
ancientrapid9,healer
ancientraven,assassin
ancientraven7,mage
ancientreaper,tank
ancientsamurai,healer
ancientshadow,assassin
ancientshadow8,warrior
ancientsilent,warrior
ancientsilent3,healer
ancientsilent7,healer
ancientsilver,healer
ancientsilver4,archer
ancientspirit,warrior
ancientspirit7,warrior
ancientstealth,assassin
ancientstorm5,assassin
ancientstorm69,assassin
ancienttiger,archer
ancienttiger0,mage
ancienttigeräöü,assassin
ancientviper,archer
ancientviper6,archer
ancientviper9,archer
ancientwarden,tank
ancientwild,mage
ancientwild0,healer
ancientwild3,mage
ancientwild89,healer
ancientwizard0,tank
ancientwizard9,archer
ancientwolf,tank
ancientwolf74,warrior
ancientäöü,healer
arcane,mage
arcane	 ##,archer
arcane	!!,archer
arcane-ancient,healer
arcane-arcane,warrior
arcane-arcane6,mage
arcane-arrow6,tank
arcane-arrow80,archer
arcane-crimson,mage
arcane-golden,tank
arcane-golden6 ##,archer
arcane-golden7,mage
arcane-ninja,mage
arcane-ninja9,healer
arcane-reaper,archer
arcane-silver4,assassin
arcane-warden,archer
arcane.cosmic8,mage
arcane.dark53	 ##,mage
arcane.dragon,tank
arcane.falcon,assassin
arcane.golem0,tank
arcane.golem4,tank
arcane.iron2,assassin
arcane.knight,assassin
arcane.raven ##,warrior
arcane.shadow2,assassin
arcane.spirit,warrior
arcane.spirit0,mage
arcane.stealth,assassin
arcane.wizard6,archer
arcane0,archer
arcane1,healer
arcane12,assassin
arcane13,tank
arcane2,tank
arcane22,warrior
arcane3,warrior
arcane302,assassin
arcane33,warrior
arcane352,tank
arcane37,mage
arcane4,mage
arcane44,mage
arcane464,tank
arcane5,warrior
arcane5   !!,tank
arcane52,archer
arcane54,assassin
arcane58,assassin
arcane6,tank
arcane60,tank
arcane63,healer
arcane69,tank
arcane6äöü,warrior
arcane7,assassin
arcane79,mage
arcane8,assassin
arcane844,assassin
arcane85,mage
arcane880,warrior
arcane888,warrior
arcane9,assassin
arcane9  äöü,warrior
arcane907,healer
arcane91,assassin
arcane976,healer
arcane_dark,assassin
arcane_electri,healer
arcane_falcon,archer
arcane_frozen,assassin
arcane_golden,mage
arcane_hunter,mage
arcane_lucky4,assassin
arcane_mystic,tank
arcane_phoenix,archer
arcane_rapid85,healer
arcane_samurai,healer
arcane_shadow1,warrior
arcane_wild,assassin
arcane_wolf0,assassin
arcaneancient,assassin
arcaneancient0,healer
arcaneancient2,archer
arcaneancient7,warrior
arcaneancient8,mage
arcanearcane,assassin
arcanearcane44,healer
arcanearcane68,mage
arcanearcane81,mage
arcanearrow,healer
arcanearrow1,assassin
arcanearrow2,assassin
arcaneblade,mage
arcanebrave1,warrior
arcanebrave20,archer
arcanecosmic,warrior
arcanecrimson3,healer
arcanecrimson5!!,mage
arcanedark,mage
arcanedragon,warrior
arcanedragon64,warrior
arcaneelectric,warrior
arcanefrozen,healer
arcanefrozen0,tank
arcanefrozen9,mage
arcanefurious,assassin
arcanefurious6,warrior
arcanegolden2,assassin
arcanegolden7,tank
arcanehunter,warrior
arcanehunter0,tank
arcaneiron,archer
arcaneiron303,warrior
arcaneiron4,mage
arcaneiron760,healer
arcaneknight5,assassin
arcaneknight54,assassin
arcanelucky,assassin
arcanelucky23,warrior
arcanemystic,healer
arcanemystic!!,healer
arcanemystic6,mage
arcanemystic7!!,healer
arcanemystic9,healer
arcaneneon,assassin
arcaneneon3,healer
arcaneneon5,mage
arcaneneon9,mage
arcaneninja,healer
arcaneninja8,tank
arcanephoenix,mage
arcanephoenix4,healer
arcanephoenix9,archer
arcanerapid,warrior
arcanerapid9,archer
arcanereaper,archer
arcanesamurai,warrior
arcaneshadow,mage
arcaneshadow33,warrior
arcaneshadow53,tank
arcanesilent,healer
arcanesilent1äöü,healer
arcanesilver,archer
arcanesilver0,mage
arcanesilver75,warrior
arcanesilver8,healer
arcanestealth4,healer
arcanestorm,mage
arcanestorm2,archer
arcanetiger,tank
arcanetiger1,warrior
arcaneviper3,warrior
arcanewarden,tank
arcanewarden1,warrior
arcanewarden8,tank
arcanewild,healer
arcanewild1,healer
arcanewild4,archer
arcanewolf,warrior
arcanewolf0,mage
arcanewolf460,assassin
arcaneäöü,archer
arrow,archer
arrow äöü,assassin
arrow-brave,mage
arrow-dragon,assassin
arrow-dragon82,archer
arrow-knight,assassin
arrow-mystic,warrior
arrow-ninja1,healer
arrow-phoenix,healer
arrow-silent!!,warrior
arrow-silent3,healer
arrow-silent54,mage
arrow-stealth6,healer
arrow-storm,archer
arrow-tiger2,archer
arrow-wild,tank
arrow.arcane5,archer
arrow.arcane8,tank
arrow.dark9,assassin
arrow.dragon,mage
arrow.ghost,archer
arrow.hunter5,assassin
arrow.ninja,tank
arrow.ninja4,assassin
arrow.reaper96,healer
arrow.silver,tank
arrow.stealth,healer
arrow.tiger41,archer
arrow0,warrior
arrow1,tank
arrow11,assassin
arrow2,archer
arrow3,healer
arrow32,assassin
arrow34,warrior
arrow369,warrior
arrow4,archer
arrow5,archer
arrow58,healer
arrow601,warrior
arrow61,warrior
arrow665,tank
arrow7,healer
arrow74,archer
arrow8,healer
arrow87,warrior
arrow9,warrior
arrow966,assassin
arrow_arcane6,mage
arrow_cosmic4,mage
arrow_frozen,archer
arrow_frozen6,assassin
arrow_furious,assassin
arrow_mystic,assassin
arrow_ninja70,archer
arrow_phoenix1,warrior
arrow_warden,healer
arrow_wild,mage
arrowarcane,mage
arrowarcane28,assassin
arrowblade0,tank
arrowbrave8,mage
arrowcosmic,assassin
arrowcosmic9,warrior
arrowcrimson,mage
arrowcrimson2,mage
arrowcrimson4,assassin
arrowdark2,archer
arrowdark9,assassin
arrowdragon1,assassin
arrowelectric,assassin
arrowelectric3,assassin
arrowfurious,assassin
arrowghost4,archer
arrowghost5,warrior
arrowhunter,warrior
arrowhunter0,warrior
arrowiron0,healer
arrowiron6,healer
arrowiron73,tank
arrowlucky1,healer
arrowlucky78,healer
arrowmystic,warrior
arrowmystic9,assassin
arrowneon,assassin
arrowneon1,warrior
arrowneon8,healer
arrowninja,warrior
arrowninja84,healer
arrowphoenix,assassin
arrowsamurai5,healer
arrowshadow,tank
arrowshadow3,mage
arrowshadow4,healer
arrowshadow5,healer
arrowsilent1,warrior
arrowsilent9,tank
arrowsilver,archer
arrowsilver8,tank
arrowspirit,archer
arrowstealth,healer
arrowstealth96,tank
arrowtiger!!,assassin
arrowtiger3,tank
arrowviper,mage
arrowwarden,warrior
arrowwarden45,healer
arrowwarden6,tank
arrowwarden7,warrior
arrowwild4,assassin
arrowwild84,archer
arrowwolf,tank
arrowwolf2,warrior
arrowwolf9,archer
blade,healer
blade-ancient5,mage
blade-arcane,mage
blade-cosmic8,archer
blade-crimson,healer
blade-silver49,healer
blade-tiger1,warrior
blade-wild,assassin
blade-wolf,archer
blade.ancient8,healer
blade.arcane,assassin
blade.cosmic1,healer
blade.lucky,archer
blade.shadow2,assassin
blade0,warrior
blade0 ##,warrior
blade1,healer
blade2,mage
blade24,healer
blade3,mage
blade30,tank
blade335,archer
blade35,archer
blade396,tank
blade4,archer
blade44,archer
blade5,mage
blade51,assassin
blade57,tank
blade6,mage
blade69,healer
blade7,healer
blade70,warrior
blade718,mage
blade8,warrior
blade8!!,healer
blade81,tank
blade9,warrior
blade94,warrior
blade_ancient,assassin
blade_blade915,healer
blade_cosmic,healer
blade_frozen39,archer
blade_golden4,healer
blade_iron,tank
blade_iron2,assassin
blade_knight7,mage
blade_mystic,archer
blade_phoenix,healer
blade_rapid,warrior
blade_silver3,healer
blade_tiger,warrior
blade_warden,warrior
blade_wild32,healer
bladeancient,mage
bladearcane0,archer
bladearcane2,healer
bladearcane2 ##,healer
bladearcane4,archer
bladearcane48,archer
bladearrow,healer
bladeblade9,healer
bladebrave,mage
bladebrave38,assassin
bladebrave451,healer
bladecosmic,tank
bladecosmic9,warrior
bladecrimson6,archer
bladedark,tank
bladedark0,mage
bladedragon,archer
bladeelectric,mage
bladefalcon72,healer
bladefrozen,mage
bladefrozen!!,archer
bladefrozen5,healer
