playername,role
ancient,archer
ancient !!,mage
ancient!!,healer
ancient-ancien,mage
ancient-brave3,mage
ancient-brave8,tank
ancient-dark,healer
ancient-neon7,warrior
ancient-samura,healer
ancient-silent,mage
ancient-stealt,assassin
ancient.cosmic,assassin
ancient.falcon,warrior
ancient.rapid3,warrior
ancient.raven8,archer
ancient.tiger1,warrior
ancient0,tank
ancient1,archer
ancient182,warrior
ancient2,mage
ancient240!!,healer
ancient3,warrior
ancient4,healer
ancient40,warrior
ancient43,archer
ancient4äöü,healer
ancient5,tank
ancient56,archer
ancient6,assassin
ancient61,healer
ancient65,healer
ancient651,archer
ancient69,healer
ancient7,healer
ancient7!!,assassin
ancient79,archer
ancient8,mage
ancient9,tank
ancient_arcane,healer
ancient_brave7,tank
ancient_crimso,healer
ancient_falcon,healer
ancient_knight,warrior
ancient_lucky7,healer
ancient_phoeni,tank
ancient_silver,warrior
ancient_stealt,assassin
ancient_warden,healer
ancientancient,healer
ancientarcane8,tank
ancientarrow3,healer
ancientcrimson,assassin
ancientdark,archer
ancientdark3,mage
ancientdark76,tank
ancientdark9,healer
ancientdragon,healer
ancientdragon2,tank
ancientdragon5,tank
ancientelectri,archer
ancientfrozen8,warrior
ancientfrozen9,archer
ancientgolem,tank
ancientgolem7,assassin
ancienthunter,archer
ancientiron2,warrior
ancientiron9,tank
ancientlucky,warrior
ancientlucky1,archer
ancientmystic,assassin
ancientninja,archer
ancientphoenix,archer
ancientrapid0,warrior
ancientrapid31,archer
ancientrapid9,healer
ancientraven,archer
ancientsamurai,mage
ancientshadow,assassin
ancientshadow8,warrior
ancientsilent,warrior
ancientsilent7,healer
ancientsilver,healer
ancientspirit,warrior
ancientspirit7,mage
ancientstealth,mage
ancientstorm5,assassin
ancientstorm69,assassin
ancienttiger,archer
ancienttiger0,mage
ancienttigeräöü,assassin
ancientviper,archer
ancientviper6,archer
ancientwarden,tank
ancientwild89,healer
ancientwizard0,tank
ancientwolf74,warrior
ancientäöü,warrior
arcane,mage
arcane	!!,archer
arcane-arcane6,mage
arcane-arrow6,tank
arcane-arrow80,archer
arcane-crimson,mage
arcane-golden,tank
arcane-golden7,mage
arcane-reaper,archer
arcane-warden,archer
arcane.cosmic8,mage
arcane.dragon,tank
arcane.golem4,tank
arcane.iron2,assassin
arcane.knight,assassin
arcane.raven ##,warrior
arcane.spirit0,mage
arcane.stealth,assassin
arcane.wizard6,archer
arcane0,assassin
arcane1,assassin
arcane12,assassin
arcane2,mage
arcane22,warrior
arcane3,healer
arcane37,mage
arcane4,tank
arcane44,mage
arcane464,tank
arcane5,warrior
arcane5   !!,tank
arcane6,assassin
arcane63,healer
arcane69,tank
arcane7,assassin
arcane79,mage
arcane8,warrior
arcane844,assassin
arcane880,warrior
arcane888,warrior
arcane91,assassin
arcane_falcon,archer
arcane_frozen,assassin
arcane_golden,mage
arcane_hunter,mage
arcane_mystic,tank
arcane_phoenix,archer
arcane_shadow1,warrior
arcane_wild,assassin
arcane_wolf0,assassin
arcaneancient,assassin
arcaneancient0,healer
arcaneancient2,archer
arcanearcane68,mage
arcanearcane81,mage
arcanearrow2,assassin
