playername,role
rapid2,	assassin
ancient1,mage
warden.golem6,healer
tiger0,"
archer"
sAmuRaiVIPER,"healer
"
blade-arcane,mage
shadow9,assassin
"  darkstealth8
",assassin
rapidcrimson,"
assassin   "
"
raven1
",tank
wardenwizard,healer
ironrapid1,archer
ancient-knight,archer
cosmicdark,assassin
reaper1,healeräöü
ironwizard2,warrior
cosmicancient7,mage
"	electric
",tank
darkäöü,archer
electricfrozen,archer
"
wizard_brave   ",archer
arrow1,"   tank
"
bladecosmic9,	warrior 
spirit_storm,tank
stealth,tank
iron,tank
   bladedragon,archer
furiousghost,archer
crimson86,assassin
rapidrapid,assassin
   knight1,healer
wolfiron4,mage
bravereaper7,archer
wardenknight8,  warrior  
goldensilent13," mage
"
tiger5äöü,warrior
lucky,tank
silver,tank 
dark52,healer
"
wardeniron1	",warrior
wizardwild,archer
ArcanE9,assassin
reaPEr,warrior
brave6,tank
silentfurious2,tank
luckyrapid,healer
 neondark,	mage   
neon,archer
phoenixgolden5,assassin
"   ravenelectric6
",tank
goldenreaper93äöü,mage
frozen,healer
golem73,"
healer"
silenthunter35,tank
lUckYELECTric1,mage
neon,warrior
"
wolf		",mage
frozen7,archer
	cosmicdark,warrior
"
spirit2 ",  archer 
phoenixknight,mage
	wizard-knight4  ,mage
lucky,warrior
silver_arcane5,healer
iron28,tank
ninja_frozen,archer
frozen7,asSAssin
"
dark ",tank
samuraiwild3,mage
Wild-elecTrIc,tank
wizardwarden2,  healer 
arrow,archer
silversilver,assassin
aRROw.DrAGoN,   mage  
wild,archer
lucky, tank 
   lucky7	,assassin
reaperancient,assassin
brave,assassin
arcanefrozen,healer
cosmicspirit22,tank
shadow,mage
wardenarcane,mage
GhoStMYstiC,healer
spiritdragon69,archer
golden9,warrior
ArROw-SIleNT!!,warrior
golemfurious,warrior
goldenrapid5,warrior ##
wizardcosmic,mage	
WilD,mage
crimson,  tank 
	stealth	,tank
"
arcanefurious ",   AssAsSIN 
cosmic,tank
ancientrapid8,archer
furious,healer
phoenixcrimson,tank
golden,archer
  tiger_shadow ,mage
hunter5,warrior
phoenixbrave,healer
spiritgolem,tank
falconviper,warrior
stealthelectri,tank
WoLF20,archer
electric,tanK
neonfurious,warrior
hunterfrozen,tank
crimson-wild34,assassin
"   goLden.rAVen2
",assassin
neonspirit,archer
 arrow   ,assassin
"dark16
",tank
furioussilent,archeräöü
wolf,archer
rapidlucky9,healer
dragon,   warrior 
furious1, mage   
viper-dark,warrior
arrow,assassin
wolfcosmic,assassin
iroN9, tank 
 cosmicdragon	,warrior   
wolf825,mage
golden,archer
"
arcane",mage
ninjashadow40,warrior
darkancient3,healer
warden7,warrior
tigerninja!!,HeALeR
dark,   ARcheR
furious9,mage
golden3,mage
ninja71,ASSaSSIn
dark1,   mage	
cosmichunter6,healer
stealth	,warrior
cosmic.brave54,tank
frozen,warrior
ravenrapid8,ASsaSSIN
stormwolf32,healer
"
furioushunter8	",healer
wildtiger,tank
spirit92!!,healer
golem,mage ##
golden2,tank
wildarrow,assassin
silverghost,assassin
arcaneviper3,warrior
viperlucky,warrior
crimson,healer
rapidancient,assassin
arrow5,archer
frozen0,"
archer  "
ninjasilver,warrior
goldendark,mage
shadowphoenix6,archer
"
wizard   ",HEAlEr
neondark4,warrior
ancientelectri,	assassin	
"dragon-cosmic
",assassin ##
arcane,warrior
fuRiOus,tank
   crimson_warden  ,warrior
samurai	,healer
hunter,"  tank
"
   lucky0,archer
silver	,   warrior
 mysticshadow ,assassin
cosmicfurious,healer
tigerancient8,warrior
rapid838,warrior
ghost5,archer
spiritghost80,warrior
	phoenix.wild  ,WARrioR
  stormsilent5   ,"
healer   "
silver.brave,assassin
ghost,archer
spirit,healer
golem-rapid16,archer
lucky,mage
wild-cosmic9, archer	
dragon,mage
ravengolem5,assassin
neon.mystic4,"
healer"
neondark,mage
electric,healer
electric27,healer
falcon962, healer   
ghostfalcon4	,maGe
silverfalcon6,archer
brave3,aSsassiN 
spirit,warrior
blade,   healer
frozen!!,warrior
"
ElECtriC59 ",assassin
 neon   ,assassin
  ghost  ,warrior
bravedark6,tank
arrowdark9, assassin	
hunter1,archer
crimson5,assassin
darkknight5	,warRiOr
warden94,mage
	silverdark4   ,healer
silentraven47,healer
	tiger_blade ," warrior
"
phoenixfurious,mage
spiritdragon,healer
darkwarden2,"
assassin  "
wolf-phoenix,tank
"ninja-ancient
",mage
ninja,warrior
crimsontiger8,warrior
warden!!,healer
   crimson ,warrior
wizardmystic,mage
arrow,healer ##
spirit5,archer
silver,healer
falconknight5,warrior
storm,	archer	
"   ghost
","	archer
"
ancientsilent3,healer
ancientrapid8,warrior
stealth,archer
stealth5,AssAsSIn
wolf0,healer
silentfurious3,	warrior 
viper,healer!!
silent, mage 
electric4,mage
frozen,warrior
arrow,tank
ghost,warrior
IroN3,HealeR
cosmic40,warrior
silentwarden,warrior
wizardwizard,tank
stealth-ironäöü,assassin
falcon_arcane2, archer   
cosmic7,assassin
	ancientreaper   ,tank
iron,  tank	
warden0,   tank 
knight-electri,	archer
	ghostphoenix	,healer
DRagON,warrior
falcon44,warrior ##
"
iron.samurai9  ",warrior
electric,mage
silver7,healer
reaper-raven77,healer
shadow3,healer
furiousarrow43,assassin
dragonmystic0,mage
neon,warrior
ninja,assassin
knightiron4,tank  
ironlucky8,tank
"  wolf
",assassin
   mystic  ,aRCher
	viperarcane8   ,mage
silent528,warrior
phoenix1,archer
falcon,healer
golem2!!,mage
mystic1,assassin
brave.rapid,warrior
bravesilent,mage
silent-stealth,ArcHER
golemiron7,archer
viper,archer
coSMIc9,mage
wildreaper,tank
electric-wild3, archer  
electric.neon,archer
furious-mystic,healer
"	BRavEsiLEnt0
",archer
rapid2,assassin
drAgOn-ancienT,archer
shadow.warden,mage
hunter,healer
wildelectric6,tank
 arcane ,  archer
shadow_golden8,healer
ninjairon1,assassin
wizard ##,archer
blade,"
warrior	"
wizard,tank
electric,assassin
stealth6,tank
frozensamurai8,archer
goldenreaper7,"
warrior
!!"
rAPId41,tank
arcane," healer
"
ironwarden,tank
electricwild,"
healer   "
rAVEN8,assassin
WolF,archer
mystic,assassin
spirit_silver9,healer
"   goldenancient5
",archer
arcanephoenix,mage
"  rapid_phoenix
",mage
wolf,healer
falcon9,mage
cosmicfrozen62,"
warrior"
shadow65	,ArChEr
"
shadow2 ",assassin
elECTriCSaMura,warrior
ghostsilent,warrior
ninja,warrior
darkwild0,healer
reaper_rapid0,healer
	samurai ,mage
silver,tank
dark,"
assassin  "
 shadowbrave  ,ASsasSin
knight.hunter9,"
archer "
eLecTRiCStOrM,archer
cosmic,healer
stealth,tank	
cosmic," healer
"
rapiddark	,warrior 
rapidarcane8,assassin
dragon4,	mage 
"
arcane   ",archer
"
arcane.shadow2	",assassin
viperancient3,assassin
cosmicwizard1,archer
silentdragon2,tank
golden,mage
wolf_stealth2,MAGe
crimson4,mage
phoenix, archer	
shadowsamurai,tank
BrAVEgolDeN,healer
luckyreaper9,ArcHer
tiger6 ,  tank	
arrowwolf   ,tank
ghostwild,healer
knight-stealth,tAnk
electric7,mage
electric-golde,assassin
ancient,mage
warden,   assassin
ancient,assassin!!
furiousneon218,assassin
crimson-ghost7,mage
	arcaneshadow  ,magE  	
ironarrow,archer
siLVER,	tank   
   aRrOw äöü, assassin
ancientspirit7,warrior
silver4!!,"
warrior
"
ghoststorm2,healer
rapid,archer
furious,tank
wolf,   warrior  
hunter8,archer
blade8,warrior
arcane6,"
tank "
warden,tank
BrAvE,warrior
viper85,warrior
viper41,warrior
arrow601,"
warrior	"
darkneon6,archer
 luckyspirit	,mage
silver88,warrior
neon,warrior
tIgER0,assassin
iROnWiZARd4,MaGE
	electric3 ,assassin
wardenancient3,"  healer
"
furiousdragon8, mage	
 iron   ,tank
cOsMic.GolDeN,warrior
dragon,healer
stealthsilver ,tank
dragon2,healer
tigerhunter,healer
stealth,warrior
lucky6,assassin
luckydark0, healeräöü
IRon,AsSASsin
electric,healer
mystic,mage
dragonfurious,archeräöü
lucky,TAnK
rapid, mage	
StORm,archer
ironcrimson,mage
electric0,  warrior 
spiritarrow844,mage
electric2,tank
shadow8,mage
viper,archer
mystic,tank
shadowspirit7äöü,   healer	
bladearcane4,  archer	
silver,archer
hunter14,archer
wild_wild,healer
phoenixknight8,healer
cosmic   ,archer  
samuraisamurai,tank
ironblade	,mage
knight	,warrior
arcanedragon,warrior
dark2,healer
mystic6,tank
furious652,assassin
dragon,"
healer "
hunter,healer
knight   ,warrior
spiritphoenix,assassin
neon2,archer
CRIMSoNsHADOw   ,"   warrior
"
warden,archer
lucky.silent,warrior
silver_electri,archer
wArDen6,archer
	brave.raven4 ,"
mAGE   "
 wildspirit	,assassin
crimsonmystic,HeAler
crimson,assassin
warden,	healer	
wolf9,tank
crimson8,mage
arcane9  äöü,warrior
silverwild914,healer
dark163,mage
"
ninja.falcon ",tank
darkmystic5,healer
ghostcrimson,warrior
mysticancient8,archer
brave,warrior
bravetiger7,assassin
brave, warrior
Wolf,mage
arrow,"  tank
"
	mystIc1  ,	archer  
 spiritcosmic0   ,TANk
"rapid.falcon
",assassin
neon.samurai,tank
ghostfurious,"
healer	"
arcane_electri,healer
dragon.brave3,mage
dragonsilent5   ,"healer
"
samuraininja,archer
"   raven
",mage
wizard,healer
golemlucky1,tank
furious.knight,assassin
wolf1,healer  
frozenstorm,warrior
warden,"
mage
"
phoenix-wizard,MAge
viper,archer
cosmic,tank
crimson5 ##,archer
dark7,"	tank
"
electric, assassin   
dragon361,warrior
wolf,mage
"
mysticelectric
","
archer   "
woLfNINJa3 ##,healer
dark6, mage  
crimson,WArriOR
raven.lucky1,healer  
reaper,"   assassin
"
"
stealthneon94",archer ##
shadow,mage
silver_hunter6,tank
bravecosmic,	healer  !!
neon,healer
mystic1	,healer
ironwild995,mage
"wolf28
",warrior
MysTiC6,	healer 
   warden90   ,tank
	knight_dragon ,mage
wolfviper,"
mage   "
 reaper,"mage
"
wildraven0,   healer
electricelectr,assassin
electric,"
mage   "
knight1,archer
reaper_ghost,warrior
phoenix-raven,assassin
"	electric11
",assassin
Tiger,warrior
bladerapid4,	tank
knight-cosmic,archer
neon ,warrior	
tiger,tank
"
raven  ",ARcher
brave,tank
dragonsilver2,assassin
viper465,	healer  
crIMsoNeLecTRI,warrior
frozen23 ,"   archer
"
silvermystic	,warrior
knightninja,tank
  bravecosmic0  ,assassin
"   raven-viper735
",healer
hunter.neon52,healer
  knight7  ,taNKäöü
"ghoststorm
",AsSAsSIn
golem,tank
furious9,	mage 
