playername,role
viper9,assassin
silverneon	,assassin
   furiousreaper ,tank
  warDen.COSmiC6,assassin
wild4äöü,assassin
crimson317,mage
neon_silent5,tank
stealth_shadow,healer
dragonstealth,"
healer   "
golemlucky8,warrior
hunterlucky436,tank
mysticfurious,tank
"	brave
",healer	
silver_spirit2,assassin
"hunter872
",assassin
stealth0,assassin
reaperknight,archer
frozen5,"
tank   "
goldenstealth3,assassin
silverstealth,aRChEr
   viper  ,	mage   
wizard,assassin
  rapiddark5 ,healer
wizard_ancient,mage
WIZardcoSmiC38,warrior
furious7,assassin
golden,"
healer   "
arrow,tank
   arcane-crimson,mage
hunter_golem,tank
ghost,"
archer"
storm575,warrior
hunter-neon6	,warrior
frozenphoenix,WArriOr
furious5,archer
"
ghostviper ",healer
lucky_golden2,tank
ninja.rapid2,assassin
silent92,archer
samuraiblade,warrior
storm	,  tank 
ancient9,tank
vipersilver	,mage
stealthhunter ##,warrior
"  ancient69
",	healer
	falcon62 ,warrior
SileNTCRIMsOn1,"	tank
"
blade70,warrior 
" neon
",tank
phoenixgolem0,assassin	
falconreaper,healer
tiger_shadow17,healer
sILVER,warrior
silentfrozen0,  warrior  
blade,"   mage
"
spirit0,assassin
wild,   HEALER	
shadow,healer
iron,waRRiOr
spiritancient,"
MagE "
mystic,archer
ancienttigeräöü,assassin
rapid.electric,"	assassin
"
 neonancient0,TAnk
arcanearcane68,mage
wild,   mage 
 crimson_wizard	,archer
 shadowfalcon97   ,tank
arcaneneon3,healer
spiritwizard0,assassin
silent.stealth,archer
   silver_spirit2 ,mage
"
wolfreaper",archer
golem38,assassin
"   crimson
",archer
darkfrozen ,mage
iron7!!,assassin
bladearrow, healer 
stormfurious,ArcHeR
phoenix0,warRIoR!!
samurai.stealt,warrior
arcane,mage
   electric6   ,healer
golem,assassin
arrow.arcane5,archer
ninja_iron4,healer
falcon-golem  ,tank
bravephoenix,assassin
darkelectric0,archer
crimson6,assassin
blade44,archer
wizard4,archer
darkwild4,archer
 silentgolden2   ,tank
tiger,assassin
hunter	,waRRiOR
   stealth_golden   ,archer
"	storm
",healer
wild-FrOzEn4,healer
ancient-brave3,mage
	arcane4 ,tank
spirit.brave,healer
vipergolden,mage
knight,warrior
dragonarcane,healer
mysticancient,archer
gOLdEnwild9   äöü,healer
stealth,tank
storm0,assassin
warden,assassin
frozen.shadow6,warrior
viper.myStiC," warrior
"
stormrapid,warrior
 golden.brave3 ,assassin
arrow3,healer
ghost0,healer
cosmicgolden,archer
DaRKFROzen5,archer
	golden-iron,healer
" cosmic_brave
",archer   
FurIoUs5,mage
neon6,warrior
bladetiger8,mage
ancientrapid9,healer
wolf1,mage
IROn ##,assassin
golden,mage
arcane	!!,archer
ANCieNT,  archer
  ancient   ,warrior
dark,assassin
reaperancient,	tank
shadow498,assassin
silver_stealth!!,wARrior
rapid.ancient8, archer	
arrow,tank	
crimson,warrior
   silver ,healer
mystic_crimson ,tank
LuCKy,mage
spirit,archer
wolf229,  mage   
fROZEn,tank
silver,mage
"   ancient4
",healer
kNigHt-aRcaNE2,"
arChEr"
	golemlucky	,warrior
sPIrIT,archer
golden,tAnk
silentsilent8,assassin
ninja334,HEAlER
knight,healer
wizard_brave,archer
frozenmystic,healer
arrow0,healer
warden,healer
wizard1,tank
dragonghost3,"tank
"
arcaneiron303	,warrior
silentancient,asSassIN
arcaneneon9,   mage   
"
golem ",assassin
silentrapid,archer
blade,tank
MYSTiC,assassin
ninjarapid,healer
